,filename,mAP
62,F:\Datasets\TFMTestRemake\CropInput\1129_Teror_frame_01_50_16_000.jpg,1.0
63,F:\Datasets\TFMTestRemake\CropInput\1132_PresaDeHornos_frame_13_28_15_000.jpg,1.0
64,F:\Datasets\TFMTestRemake\CropInput\1134_Teror_frame_02_21_06_000.jpg,1.0
65,F:\Datasets\TFMTestRemake\CropInput\1136_PresaDeHornos_frame_12_36_57_000.jpg,1.0
66,F:\Datasets\TFMTestRemake\CropInput\1138_Teror_frame_02_37_14_000.jpg,1.0
67,F:\Datasets\TFMTestRemake\CropInput\1139_Teror_frame_02_37_14_000.jpg,1.0
68,F:\Datasets\TFMTestRemake\CropInput\1143_Teror_frame_03_02_30_000.jpg,1.0
69,F:\Datasets\TFMTestRemake\CropInput\1144_Teror_frame_03_23_52_000.jpg,1.0
70,F:\Datasets\TFMTestRemake\CropInput\1145_PresaDeHornos_frame_12_58_41_000.jpg,1.0
71,F:\Datasets\TFMTestRemake\CropInput\1146_PresaDeHornos_frame_11_36_46_000.jpg,1.0
72,F:\Datasets\TFMTestRemake\CropInput\1147_PresaDeHornos_frame_12_55_13_000.jpg,1.0
73,F:\Datasets\TFMTestRemake\CropInput\1148_PresaDeHornos_frame_12_55_13_000.jpg,1.0
74,F:\Datasets\TFMTestRemake\CropInput\1149_PresaDeHornos_frame_12_22_49_000.jpg,1.0
75,F:\Datasets\TFMTestRemake\CropInput\114_Arucas_frame_01_44_47_000.jpg,1.0
76,F:\Datasets\TFMTestRemake\CropInput\1150_PresaDeHornos_frame_12_39_20_000.jpg,0.0
77,F:\Datasets\TFMTestRemake\CropInput\1151_PresaDeHornos_frame_12_39_20_000.jpg,1.0
78,F:\Datasets\TFMTestRemake\CropInput\1153_PresaDeHornos_frame_13_40_41_000.jpg,0.0
79,F:\Datasets\TFMTestRemake\CropInput\1155_PresaDeHornos_frame_13_40_41_000.jpg,0.0
80,F:\Datasets\TFMTestRemake\CropInput\115_Arucas_frame_01_44_47_000.jpg,1.0
81,F:\Datasets\TFMTestRemake\CropInput\1162_Teror_frame_03_02_12_000.jpg,1.0
82,F:\Datasets\TFMTestRemake\CropInput\1163_PresaDeHornos_frame_13_41_34_000.jpg,1.0
83,F:\Datasets\TFMTestRemake\CropInput\1166_Teror_frame_02_14_38_000.jpg,0.0
84,F:\Datasets\TFMTestRemake\CropInput\116_Arucas_frame_01_44_47_000.jpg,0.0
85,F:\Datasets\TFMTestRemake\CropInput\1170_Teror_frame_02_58_27_000.jpg,0.0
86,F:\Datasets\TFMTestRemake\CropInput\1172_Teror_frame_02_58_27_000.jpg,1.0
87,F:\Datasets\TFMTestRemake\CropInput\1174_Teror_frame_02_39_30_000.jpg,1.0
88,F:\Datasets\TFMTestRemake\CropInput\1177_PresaDeHornos_frame_12_58_43_000.jpg,1.0
89,F:\Datasets\TFMTestRemake\CropInput\1178_Teror_frame_02_04_06_000.jpg,1.0
90,F:\Datasets\TFMTestRemake\CropInput\1180_PresaDeHornos_frame_11_15_45_000.jpg,1.0
91,F:\Datasets\TFMTestRemake\CropInput\1183_Teror_frame_02_39_31_000.jpg,1.0
92,F:\Datasets\TFMTestRemake\CropInput\1185_Teror_frame_03_06_36_000.jpg,1.0
93,F:\Datasets\TFMTestRemake\CropInput\1188_Teror_frame_02_15_11_000.jpg,0.0
94,F:\Datasets\TFMTestRemake\CropInput\1189_Teror_frame_02_15_11_000.jpg,1.0
95,F:\Datasets\TFMTestRemake\CropInput\1191_Teror_frame_02_42_19_000.jpg,0.5
96,F:\Datasets\TFMTestRemake\CropInput\1192_Teror_frame_03_13_25_000.jpg,1.0
97,F:\Datasets\TFMTestRemake\CropInput\1194_Teror_frame_02_11_23_000.jpg,1.0
98,F:\Datasets\TFMTestRemake\CropInput\1196_Teror_frame_02_39_55_000.jpg,1.0
99,F:\Datasets\TFMTestRemake\CropInput\1197_Teror_frame_02_39_55_000.jpg,0.0
100,F:\Datasets\TFMTestRemake\CropInput\1200_Teror_frame_02_12_59_000.jpg,1.0
101,F:\Datasets\TFMTestRemake\CropInput\1201_PresaDeHornos_frame_13_28_11_000.jpg,1.0
102,F:\Datasets\TFMTestRemake\CropInput\1204_PresaDeHornos_frame_13_40_31_000.jpg,1.0
103,F:\Datasets\TFMTestRemake\CropInput\1206_Teror_frame_02_58_01_000.jpg,1.0
104,F:\Datasets\TFMTestRemake\CropInput\1207_Teror_frame_02_30_20_000.jpg,1.0
105,F:\Datasets\TFMTestRemake\CropInput\1210_Teror_frame_03_22_03_000.jpg,1.0
106,F:\Datasets\TFMTestRemake\CropInput\1211_PresaDeHornos_frame_12_17_33_000.jpg,0.0
107,F:\Datasets\TFMTestRemake\CropInput\1213_Teror_frame_02_09_23_000.jpg,1.0
108,F:\Datasets\TFMTestRemake\CropInput\1214_PresaDeHornos_frame_13_48_33_000.jpg,0.0
109,F:\Datasets\TFMTestRemake\CropInput\1216_Teror_frame_02_49_30_000.jpg,1.0
110,F:\Datasets\TFMTestRemake\CropInput\1217_Teror_frame_02_56_05_000.jpg,1.0
