,filename,precision,recall,f1_score
57,F:\Datasets\TFMTestRemakeOwn\CropTPInput\151_bib_number_0260.jpg,0.0,0,0
58,F:\Datasets\TFMTestRemakeOwn\CropTPInput\152_bib_number_0260.jpg,0.0,0,0
59,F:\Datasets\TFMTestRemakeOwn\CropTPInput\153_bib_number_0260.jpg,0.0,0,0
60,F:\Datasets\TFMTestRemakeOwn\CropTPInput\154_bib_number_0264.jpg,0.125,1.0,0.2222222222222222
61,F:\Datasets\TFMTestRemakeOwn\CropTPInput\155_bib_number_0265.jpg,0.07142857142857142,1.0,0.13333333333333333
62,F:\Datasets\TFMTestRemakeOwn\CropTPInput\156_bib_number_0274.jpg,0.0,0.0,0
63,F:\Datasets\TFMTestRemakeOwn\CropTPInput\157_bib_number_0274.jpg,0.0,0,0
64,F:\Datasets\TFMTestRemakeOwn\CropTPInput\158_bib_number_0277.jpg,0.0,0.0,0
65,F:\Datasets\TFMTestRemakeOwn\CropTPInput\159_bib_number_0281.jpg,0.0,0.0,0
66,F:\Datasets\TFMTestRemakeOwn\CropTPInput\15_bib_number_0011.jpg,0.0,0,0
67,F:\Datasets\TFMTestRemakeOwn\CropTPInput\160_bib_number_0281.jpg,0.0,0.0,0
68,F:\Datasets\TFMTestRemakeOwn\CropTPInput\161_bib_number_0281.jpg,0.25,1.0,0.4
69,F:\Datasets\TFMTestRemakeOwn\CropTPInput\162_bib_number_0288.jpg,0.2,1.0,0.33333333333333337
70,F:\Datasets\TFMTestRemakeOwn\CropTPInput\163_bib_number_0288.jpg,0.3333333333333333,1.0,0.5
71,F:\Datasets\TFMTestRemakeOwn\CropTPInput\164_bib_number_0297.jpg,1.0,1.0,1.0
72,F:\Datasets\TFMTestRemakeOwn\CropTPInput\165_bib_number_0297.jpg,1.0,1.0,1.0
73,F:\Datasets\TFMTestRemakeOwn\CropTPInput\166_bib_number_0297.jpg,0.3333333333333333,1.0,0.5
74,F:\Datasets\TFMTestRemakeOwn\CropTPInput\167_bib_number_0297.jpg,0.0,0.0,0
75,F:\Datasets\TFMTestRemakeOwn\CropTPInput\168_bib_number_0301.jpg,1.0,1.0,1.0
76,F:\Datasets\TFMTestRemakeOwn\CropTPInput\169_bib_number_0301.jpg,0.0,0,0
77,F:\Datasets\TFMTestRemakeOwn\CropTPInput\16_bib_number_0011.jpg,0.0,0,0
78,F:\Datasets\TFMTestRemakeOwn\CropTPInput\170_bib_number_0306.jpg,0.0,0.0,0
79,F:\Datasets\TFMTestRemakeOwn\CropTPInput\171_bib_number_0306.jpg,0.0,0.0,0
80,F:\Datasets\TFMTestRemakeOwn\CropTPInput\172_bib_number_0306.jpg,1.0,1.0,1.0
81,F:\Datasets\TFMTestRemakeOwn\CropTPInput\173_bib_number_0307.jpg,0.0,0.0,0
82,F:\Datasets\TFMTestRemakeOwn\CropTPInput\174_bib_number_0307.jpg,1.0,1.0,1.0
83,F:\Datasets\TFMTestRemakeOwn\CropTPInput\175_bib_number_0308.jpg,1.0,1.0,1.0
84,F:\Datasets\TFMTestRemakeOwn\CropTPInput\176_bib_number_0308.jpg,0.0,0.0,0
85,F:\Datasets\TFMTestRemakeOwn\CropTPInput\177_bib_number_0310.jpg,0.5,1.0,0.6666666666666666
86,F:\Datasets\TFMTestRemakeOwn\CropTPInput\178_bib_number_0312.jpg,1.0,1.0,1.0
87,F:\Datasets\TFMTestRemakeOwn\CropTPInput\179_bib_number_0312.jpg,1.0,1.0,1.0
88,F:\Datasets\TFMTestRemakeOwn\CropTPInput\17_bib_number_0011.jpg,0.0,0,0
89,F:\Datasets\TFMTestRemakeOwn\CropTPInput\180_bib_number_0312.jpg,0.0,0,0
90,F:\Datasets\TFMTestRemakeOwn\CropTPInput\181_bib_number_0320.jpg,1.0,1.0,1.0
91,F:\Datasets\TFMTestRemakeOwn\CropTPInput\182_bib_number_0320.jpg,0.0,0.0,0
92,F:\Datasets\TFMTestRemakeOwn\CropTPInput\183_bib_number_0320.jpg,1.0,1.0,1.0
93,F:\Datasets\TFMTestRemakeOwn\CropTPInput\184_bib_number_0320.jpg,0.0,0.0,0
94,F:\Datasets\TFMTestRemakeOwn\CropTPInput\185_bib_number_0323.jpg,0.5,1.0,0.6666666666666666
95,F:\Datasets\TFMTestRemakeOwn\CropTPInput\186_bib_number_0326.jpg,0.25,1.0,0.4
96,F:\Datasets\TFMTestRemakeOwn\CropTPInput\187_bib_number_0327.jpg,0.0,0.0,0
97,F:\Datasets\TFMTestRemakeOwn\CropTPInput\188_bib_number_0335.jpg,0.25,1.0,0.4
98,F:\Datasets\TFMTestRemakeOwn\CropTPInput\189_bib_number_0338.jpg,0.2,1.0,0.33333333333333337
99,F:\Datasets\TFMTestRemakeOwn\CropTPInput\18_bib_number_0012.jpg,0.0,0.0,0
100,F:\Datasets\TFMTestRemakeOwn\CropTPInput\190_bib_number_0345.jpg,0.0,0.0,0
101,F:\Datasets\TFMTestRemakeOwn\CropTPInput\191_bib_number_0345.jpg,0.0,0.0,0
102,F:\Datasets\TFMTestRemakeOwn\CropTPInput\192_bib_number_0345.jpg,0.3333333333333333,1.0,0.5
103,F:\Datasets\TFMTestRemakeOwn\CropTPInput\193_bib_number_0346.jpg,0.0,0.0,0
104,F:\Datasets\TFMTestRemakeOwn\CropTPInput\194_bib_number_0347.jpg,0.2,1.0,0.33333333333333337
105,F:\Datasets\TFMTestRemakeOwn\CropTPInput\195_bib_number_0352.jpg,0.0,0.0,0
106,F:\Datasets\TFMTestRemakeOwn\CropTPInput\196_bib_number_0356.jpg,0.25,0.5,0.3333333333333333
107,F:\Datasets\TFMTestRemakeOwn\CropTPInput\197_bib_number_0359.jpg,0.0,0,0
108,F:\Datasets\TFMTestRemakeOwn\CropTPInput\198_bib_number_0359.jpg,0.0,0,0
109,F:\Datasets\TFMTestRemakeOwn\CropTPInput\199_bib_number_0359.jpg,0.0,0,0
110,F:\Datasets\TFMTestRemakeOwn\CropTPInput\19_bib_number_0012.jpg,0.0,0,0
111,F:\Datasets\TFMTestRemakeOwn\CropTPInput\1_bib_number_0005.jpg,0.09090909090909091,1.0,0.16666666666666669
112,F:\Datasets\TFMTestRemakeOwn\CropTPInput\200_bib_number_0368.jpg,0.0,0,0
113,F:\Datasets\TFMTestRemakeOwn\CropTPInput\201_bib_number_0368.jpg,0.0,0,0
114,F:\Datasets\TFMTestRemakeOwn\CropTPInput\202_bib_number_0368.jpg,0.0,0,0
115,F:\Datasets\TFMTestRemakeOwn\CropTPInput\203_bib_number_0368.jpg,0.0,0.0,0
116,F:\Datasets\TFMTestRemakeOwn\CropTPInput\204_bib_number_0368.jpg,0.0,0,0
117,F:\Datasets\TFMTestRemakeOwn\CropTPInput\205_bib_number_0368.jpg,0.0,0.0,0
118,F:\Datasets\TFMTestRemakeOwn\CropTPInput\206_bib_number_0370.jpg,0.3333333333333333,1.0,0.5
119,F:\Datasets\TFMTestRemakeOwn\CropTPInput\207_bib_number_0370.jpg,0.3333333333333333,1.0,0.5
120,F:\Datasets\TFMTestRemakeOwn\CropTPInput\208_bib_number_0370.jpg,0.5,1.0,0.6666666666666666
121,F:\Datasets\TFMTestRemakeOwn\CropTPInput\209_bib_number_0370.jpg,0.3333333333333333,1.0,0.5
122,F:\Datasets\TFMTestRemakeOwn\CropTPInput\20_bib_number_0015.jpg,0.0,0.0,0
123,F:\Datasets\TFMTestRemakeOwn\CropTPInput\210_bib_number_0370.jpg,0.0,0,0
124,F:\Datasets\TFMTestRemakeOwn\CropTPInput\211_bib_number_0370.jpg,1.0,0.5,0.6666666666666666
125,F:\Datasets\TFMTestRemakeOwn\CropTPInput\212_bib_number_0370.jpg,1.0,1.0,1.0
126,F:\Datasets\TFMTestRemakeOwn\CropTPInput\213_bib_number_0370.jpg,1.0,1.0,1.0
127,F:\Datasets\TFMTestRemakeOwn\CropTPInput\214_bib_number_0380.jpg,0.0,0.0,0
128,F:\Datasets\TFMTestRemakeOwn\CropTPInput\215_bib_number_0381.jpg,0.16666666666666666,1.0,0.2857142857142857
129,F:\Datasets\TFMTestRemakeOwn\CropTPInput\216_bib_number_0389.jpg,0.0,0.0,0
130,F:\Datasets\TFMTestRemakeOwn\CropTPInput\217_bib_number_0389.jpg,0.0,0.0,0
