,filename,precision,recall,f1_score
56,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\150_bib_number_0260.jpg,0.0,0,0
57,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\151_bib_number_0260.jpg,0.0,0,0
58,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\152_bib_number_0260.jpg,0.0,0,0
59,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\153_bib_number_0260.jpg,0.0,0,0
60,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\154_bib_number_0264.jpg,0.0,0.0,0
61,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\155_bib_number_0265.jpg,0.0,0.0,0
62,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\156_bib_number_0274.jpg,0.0,0.0,0
63,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\157_bib_number_0274.jpg,0.0,0,0
64,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\158_bib_number_0277.jpg,0.0,0.0,0
65,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\159_bib_number_0281.jpg,0.0,0.0,0
66,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\15_bib_number_0011.jpg,0.0,0,0
67,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\160_bib_number_0281.jpg,0.0,0.0,0
68,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\161_bib_number_0281.jpg,0.0,0.0,0
69,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\162_bib_number_0288.jpg,0.0,0.0,0
70,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\163_bib_number_0288.jpg,0.0,0.0,0
71,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\164_bib_number_0297.jpg,1.0,1.0,1.0
72,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\165_bib_number_0297.jpg,0.5,1.0,0.6666666666666666
73,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\166_bib_number_0297.jpg,0.0,0.0,0
74,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\167_bib_number_0297.jpg,0.0,0.0,0
75,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\168_bib_number_0301.jpg,1.0,1.0,1.0
76,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\169_bib_number_0301.jpg,0.0,0,0
77,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\16_bib_number_0011.jpg,0.0,0,0
78,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\170_bib_number_0306.jpg,0.0,0.0,0
79,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\171_bib_number_0306.jpg,0.0,0.0,0
80,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\172_bib_number_0306.jpg,0.0,0.0,0
81,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\173_bib_number_0307.jpg,0.0,0.0,0
82,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\174_bib_number_0307.jpg,0.0,0.0,0
83,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\175_bib_number_0308.jpg,0.0,0.0,0
84,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\176_bib_number_0308.jpg,0.0,0.0,0
85,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\177_bib_number_0310.jpg,0.0,0.0,0
86,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\178_bib_number_0312.jpg,0.0,0.0,0
87,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\179_bib_number_0312.jpg,0.0,0.0,0
88,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\17_bib_number_0011.jpg,0.0,0,0
89,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\180_bib_number_0312.jpg,0.0,0,0
90,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\181_bib_number_0320.jpg,0.0,0.0,0
91,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\182_bib_number_0320.jpg,0.0,0.0,0
92,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\183_bib_number_0320.jpg,0.0,0.0,0
93,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\184_bib_number_0320.jpg,0.0,0.0,0
94,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\185_bib_number_0323.jpg,0.0,0.0,0
95,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\186_bib_number_0326.jpg,0.0,0.0,0
96,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\187_bib_number_0327.jpg,0.0,0.0,0
97,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\188_bib_number_0335.jpg,0.0,0.0,0
98,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\189_bib_number_0338.jpg,0.0,0.0,0
99,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\18_bib_number_0012.jpg,0.0,0.0,0
100,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\190_bib_number_0345.jpg,0.0,0.0,0
101,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\191_bib_number_0345.jpg,0.0,0.0,0
102,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\192_bib_number_0345.jpg,0.0,0.0,0
103,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\193_bib_number_0346.jpg,0.0,0.0,0
104,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\194_bib_number_0347.jpg,0.0,0.0,0
105,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\195_bib_number_0352.jpg,0.0,0.0,0
106,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\196_bib_number_0356.jpg,0.0,0.0,0
107,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\197_bib_number_0359.jpg,0.0,0,0
108,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\198_bib_number_0359.jpg,0.0,0,0
109,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\199_bib_number_0359.jpg,0.0,0,0
110,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\19_bib_number_0012.jpg,0.0,0,0
111,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\1_bib_number_0005.jpg,0.0,0.0,0
112,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\200_bib_number_0368.jpg,0.0,0,0
113,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\201_bib_number_0368.jpg,0.0,0,0
114,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\202_bib_number_0368.jpg,0.0,0,0
115,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\203_bib_number_0368.jpg,0.0,0.0,0
116,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\204_bib_number_0368.jpg,0.0,0,0
117,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\205_bib_number_0368.jpg,0.0,0.0,0
118,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\206_bib_number_0370.jpg,0.0,0.0,0
119,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\207_bib_number_0370.jpg,0.0,0.0,0
120,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\208_bib_number_0370.jpg,0.0,0.0,0
121,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\209_bib_number_0370.jpg,0.0,0.0,0
122,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\20_bib_number_0015.jpg,0.0,0.0,0
123,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\210_bib_number_0370.jpg,0.0,0,0
124,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\211_bib_number_0370.jpg,0.0,0.0,0
125,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\212_bib_number_0370.jpg,0.0,0.0,0
126,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\213_bib_number_0370.jpg,0.0,0.0,0
127,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\214_bib_number_0380.jpg,0.0,0.0,0
128,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\215_bib_number_0381.jpg,0.0,0.0,0
129,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\216_bib_number_0389.jpg,0.0,0.0,0
130,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\217_bib_number_0389.jpg,0.0,0.0,0
131,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\218_bib_number_0390.jpg,0.0,0.0,0
132,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\219_bib_number_0399.jpg,0.0,0.0,0
133,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\21_bib_number_0024.jpg,0.0,0.0,0
134,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\220_bib_number_0400.jpg,0.0,0.0,0
135,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\221_bib_number_0404.jpg,0.0,0.0,0
136,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\222_bib_number_0410.jpg,0.0,0.0,0
137,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\223_bib_number_0420.jpg,0.0,0.0,0
138,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\224_bib_number_0423.jpg,0.0,0.0,0
139,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\225_bib_number_0423.jpg,0.0,0.0,0
140,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\226_bib_number_0425.jpg,0.0,0.0,0
141,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\227_bib_number_0427.jpg,0.0,0.0,0
142,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\228_bib_number_0427.jpg,0.0,0.0,0
