,filename,mAP
63,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_33_02_000.jpg,0.949999988079071
64,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_33_10_000.jpg,1.0
65,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_33_53_000.jpg,1.0
66,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_33_55_000.jpg,0.6666666865348816
67,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_33_57_000.jpg,1.0
68,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_02_000.jpg,0.3333333432674408
69,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_16_000.jpg,0.125
70,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_26_000.jpg,0.8333333134651184
71,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_28_000.jpg,0.5
72,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_34_000.jpg,1.0
73,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_34_46_000.jpg,0.5
74,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_35_30_000.jpg,1.0
75,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_35_41_000.jpg,1.0
76,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_35_44_000.jpg,1.0
77,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_35_53_000.jpg,1.0
78,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_36_03_000.jpg,1.0
79,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_36_44_000.jpg,0.5
80,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_00_000.jpg,1.0
81,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_02_000.jpg,0.6666666865348816
82,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_03_000.jpg,1.0
83,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_16_000.jpg,1.0
84,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_17_000.jpg,1.0
85,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_19_000.jpg,0.3333333432674408
86,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_25_000.jpg,1.0
87,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_31_000.jpg,1.0
88,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_34_000.jpg,1.0
89,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_37_37_000.jpg,1.0
90,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_11_000.jpg,0.0
91,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_19_000.jpg,1.0
92,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_35_000.jpg,0.0
93,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_36_000.jpg,1.0
94,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_42_000.jpg,0.5
95,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_44_000.jpg,1.0
96,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_46_000.jpg,0.5
97,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_52_000.jpg,1.0
98,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_38_57_000.jpg,1.0
99,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_02_000.jpg,0.0
100,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_16_000.jpg,1.0
101,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_30_000.jpg,0.5
102,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_44_000.jpg,1.0
103,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_50_000.jpg,0.0
104,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_39_57_000.jpg,1.0
