,filename,precision,recall,f1_score
81,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1073_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
82,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1074_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
83,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1075_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
84,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1076_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
85,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1077_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
86,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1078_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
87,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1079_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
88,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\107_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
89,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1080_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
90,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1081_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
91,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1082_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
92,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1083_Teror_frame_02_20_52_000.jpg,1.0,1.0,1.0
93,F:\Datasets\TFMTestRemakeOwn\TGCRBNWPeopleInput\1084_Teror_frame_02_20_52_000.jpg,0.0,0.0,0.0
